2022-08-22 10:20:08.780  INFO [authorizationService,,] 1668 --- [http-nio-9090-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-08-22 10:20:09.015  INFO [authorizationService,,] 1668 --- [http-nio-9090-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 233 ms
2022-08-22 10:20:12.761  INFO [authorizationService,ad2a7ee5abdb8ac7,9537e7e1e9f007e8] 1668 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-08-22 10:20:12.817  INFO [authorizationService,ad2a7ee5abdb8ac7,9537e7e1e9f007e8] 1668 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-22 10:20:16.678  INFO [authorizationService,ad2a7ee5abdb8ac7,9537e7e1e9f007e8] 1668 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-22 10:20:16.717  INFO [authorizationService,ad2a7ee5abdb8ac7,9537e7e1e9f007e8] 1668 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : END - generateToken
2022-08-22 10:27:16.133  INFO [authorizationService,5f283bccaf99b096,f280dd26269a7bf6] 1668 --- [http-nio-9090-exec-3] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-08-22 10:27:16.134  INFO [authorizationService,5f283bccaf99b096,f280dd26269a7bf6] 1668 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-22 10:27:16.237  INFO [authorizationService,5f283bccaf99b096,f280dd26269a7bf6] 1668 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-22 10:27:16.246  INFO [authorizationService,5f283bccaf99b096,f280dd26269a7bf6] 1668 --- [http-nio-9090-exec-3] c.c.controller.AuthorizationController   : END - generateToken
2022-08-22 13:56:11.980  WARN [authorizationService,,] 1668 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3h23s253ms341µs600ns).
2022-08-22 14:25:53.862  WARN [authorizationService,,] 1668 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=29m29s65ms882µs500ns).
